Longitude,Latitude,Div,Line,Station Name,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Routes,Type,North/South St,East/West St,Corner,ADA,ADA Notes,LowTurnstiles,Hi Turnstiles,EXIT ONLY,Notes
-73.912074,40.775149,BMT,Astoria,Ditmars Blvd,N,Q,,,,,,,,NQ,Stair,31st St,23rd Ave,NW,FALSE,,Yes,,,
-73.912151,40.77481,BMT,Astoria,Ditmars Blvd,N,Q,,,,,,,,NQ,Stair,31st St,23rd Ave,NE,FALSE,,Yes,,,
-73.911891,40.775025,BMT,Astoria,Ditmars Blvd,N,Q,,,,,,,,NQ,Stair,31st St,23rd Ave,NE,FALSE,,Yes,,,
-73.912337,40.774938,BMT,Astoria,Ditmars Blvd,N,Q,,,,,,,,NQ,Stair,31st St,23rd Ave,NW,FALSE,,Yes,,,
-73.917167,40.771009,BMT,Astoria,Astoria Blvd-Hoyt Av,N,Q,,,,,,,,NQ,Stair,31st St,Hoyt Ave North,NW,FALSE,,Yes,,,
-73.916935,40.77087,BMT,Astoria,Astoria Blvd-Hoyt Av,N,Q,,,,,,,,NQ,Stair,31st St,Hoyt Ave North,NE,FALSE,,Yes,,,
-73.917978,40.770313,BMT,Astoria,Astoria Blvd-Hoyt Av,N,Q,,,,,,,,NQ,Stair,31st St,Hoyt Ave South,SW,FALSE,,Yes,,,
-73.917755,40.77017,BMT,Astoria,Astoria Blvd-Hoyt Av,N,Q,,,,,,,,NQ,Stair,31st St,Hoyt Ave South,SE,FALSE,,Yes,,,
-73.921629,40.766787,BMT,Astoria,30 Av-Grand Av,N,Q,,,,,,,,NQ,Stair,31st St,30th Ave,SW,FALSE,,Yes,,,
-73.921406,40.7667,BMT,Astoria,30 Av-Grand Av,N,Q,,,,,,,,NQ,Stair,31st St,30th Ave,SE,FALSE,,Yes,,,
-73.921409,40.767052,BMT,Astoria,30 Av-Grand Av,N,Q,,,,,,,,NQ,Stair,31st St,30th Ave,NW,FALSE,,Yes,,,
